ranking,query,sort_by_filter,video_id,video_url
9,fentanyl crisis,date,OsfX14y20oI,https://www.youtube.com/watch?v=OsfX14y20oI
10,fentanyl crisis,date,NhPhRxjxgyc,https://www.youtube.com/watch?v=NhPhRxjxgyc
1,fentanyl crisis,rating,Kh4XOM-SonM,https://www.youtube.com/watch?v=Kh4XOM-SonM
2,fentanyl crisis,rating,91zSp2lqYa8,https://www.youtube.com/watch?v=91zSp2lqYa8
3,fentanyl crisis,rating,OR_ntLlkmy8,https://www.youtube.com/watch?v=OR_ntLlkmy8
4,fentanyl crisis,rating,99GeG4WcC74,https://www.youtube.com/watch?v=99GeG4WcC74
5,fentanyl crisis,rating,UchuDFwsRZk,https://www.youtube.com/watch?v=UchuDFwsRZk
6,fentanyl crisis,rating,5qOCCo9s2bc,https://www.youtube.com/watch?v=5qOCCo9s2bc
7,fentanyl crisis,rating,NrleqRhGNQI,https://www.youtube.com/watch?v=NrleqRhGNQI
8,fentanyl crisis,rating,EHnB6ae97QU,https://www.youtube.com/watch?v=EHnB6ae97QU
9,fentanyl crisis,rating,Ye3CdWBB13c,https://www.youtube.com/watch?v=Ye3CdWBB13c
10,fentanyl crisis,rating,OxUiFwoqy_o,https://www.youtube.com/watch?v=OxUiFwoqy_o
1,fentanyl addict,relevance,BG70kTLfS7w,https://www.youtube.com/watch?v=BG70kTLfS7w
2,fentanyl addict,relevance,hMny_HLNvz8,https://www.youtube.com/watch?v=hMny_HLNvz8
3,fentanyl addict,relevance,2rvFfbI3nmI,https://www.youtube.com/watch?v=2rvFfbI3nmI
4,fentanyl addict,relevance,n55bpt-6O7Q,https://www.youtube.com/watch?v=n55bpt-6O7Q
5,fentanyl addict,relevance,hWEcH6gu32k,https://www.youtube.com/watch?v=hWEcH6gu32k
6,fentanyl addict,relevance,TkgUW3Z1hGs,https://www.youtube.com/watch?v=TkgUW3Z1hGs
7,fentanyl addict,relevance,p6vRn0PKGs0,https://www.youtube.com/watch?v=p6vRn0PKGs0
8,fentanyl addict,relevance,ejgr35nckxo,https://www.youtube.com/watch?v=ejgr35nckxo
9,fentanyl addict,relevance,yPHYa7_YgZE,https://www.youtube.com/watch?v=yPHYa7_YgZE
10,fentanyl addict,relevance,xU4AGIQWqVU,https://www.youtube.com/watch?v=xU4AGIQWqVU
1,fentanyl addict,viewCount,Jd76HxqCPf0,https://www.youtube.com/watch?v=Jd76HxqCPf0
2,fentanyl addict,viewCount,BG70kTLfS7w,https://www.youtube.com/watch?v=BG70kTLfS7w
3,fentanyl addict,viewCount,82QhIOgJy1c,https://www.youtube.com/watch?v=82QhIOgJy1c
4,fentanyl addict,viewCount,WCqNLCzN-Fk,https://www.youtube.com/watch?v=WCqNLCzN-Fk
5,fentanyl addict,viewCount,GWBzxr3c29s,https://www.youtube.com/watch?v=GWBzxr3c29s
6,fentanyl addict,viewCount,C0tW8FWBm1g,https://www.youtube.com/watch?v=C0tW8FWBm1g
7,fentanyl addict,viewCount,i6qyigAWE6I,https://www.youtube.com/watch?v=i6qyigAWE6I
8,fentanyl addict,viewCount,M_NULoJyNAw,https://www.youtube.com/watch?v=M_NULoJyNAw
9,fentanyl addict,viewCount,qPv5PTm5rMA,https://www.youtube.com/watch?v=qPv5PTm5rMA
10,fentanyl addict,viewCount,AvHkvpndIuc,https://www.youtube.com/watch?v=AvHkvpndIuc
1,fentanyl addict,date,hw9BG5jsE-g,https://www.youtube.com/watch?v=hw9BG5jsE-g
2,fentanyl addict,date,KjiCNXLI9Aw,https://www.youtube.com/watch?v=KjiCNXLI9Aw
3,fentanyl addict,date,OaCUD3IliR8,https://www.youtube.com/watch?v=OaCUD3IliR8
4,fentanyl addict,date,Zp2tqrlv6r8,https://www.youtube.com/watch?v=Zp2tqrlv6r8
5,fentanyl addict,date,2-eOJ3_VYCk,https://www.youtube.com/watch?v=2-eOJ3_VYCk
6,fentanyl addict,date,5-mzZE9_Jv8,https://www.youtube.com/watch?v=5-mzZE9_Jv8
